model,pattern,wmi,make
LR3,"['^AE2.*4$', '^A.*4$', '^AK2.*$', '^AG2.*$', '^AD2.*4$', '^A.*$']",SAL,Range
NEW RANGE ROVER,"['^K.*$', '^KP9.*$']",SAL,Range
RANGE ROVER EVOQUE,"['^VR2.*$', '^ZL2.*X$', '^VP2.*$']",SAL,Range
RANGE ROVER SPORT,"['^WA2BY.*$', '^WZ2SE.*$', '^WA2KF.*$', '^S.*4$', '^SF2.*4$']",SAL,Range
RANGE ROVER VELAR,"['^YL2.*$', '^YA2B.*$', '^YB2.*$', '^YM2.*V$', '^YT2E.*$', '^YA2.*$', '^Y.*$']",SAL,Range
ROVER DEFENDER SVX,"['^LDH.*$', '^LDV.*$', '^LDK.*$', '^LDVA.*$', '^LDWB.*$', '^LBC.*$', '^EA7B.*$']",SAL,Range
ROVER DISCOVERY,"['^CR2.*$', '^LJG.*$', '^CP2.*$', '^RA2B.*$', '^LAAA.*$', '^TW1.*4$', '^LTGM.*$', '^TL1.*4$']",SAL,Range
ROVER LR 2,"['^FA2.*$', '^FA2.*A$']",SAL,Range
ROVER LR4,['^LAAA.*$'],SAL,Range
ROVER LR3,['^LAAA5.*$'],SAL,Range
ROVER VOGUE,"['^GA2.*$', '^GS5.*E$', '^LMAM.*$', '^GA2.*F$', '^LPAM.*$', '^LHA.*$', '^HV1.*4$', '^LMAME.*$', '^ME1.*4$', '^GS2.*$', '^MF1.*4$']",SAL,Range
ROVER,['^L.*CAH$'],SAL,Range
S TYPE,['^AA01A.*$'],SAL,Range
XF,['^AA06D.*$'],SAL,Range
XTYPE,['^AE52N.*$'],SAL,Range
420SI,['^RTCLC.*$'],SAR,Rover
75,"['^RDWB.*$', '^RJ.*$', '^RJZLL.*$', '^RJZL.*$', '^R.*$']",SAR,Rover
827,['^RSSLG.*$'],SAR,Rover
AURIS,['^.*E$'],SB1,Toyota
CARINA,['^53ABK.*$'],SB1,Toyota
600 LT SPIDER,['^13SAB.*$'],SBM,McLaren
S 650,['^11FAB.*$'],SBM,McLaren
650S,['^11FAA.*$'],SBM,McLaren
675LT MSO LIMITED EDITION,['^11RAB.*$'],SBM,McLaren
720S,['^14DC.*$'],SBM,McLaren
MP4,"['^11.*AB$', '^11AAB.*$']",SBM,McLaren
S 570,['^13DAB.*$'],SBM,McLaren
CORNICHE,['^ZD42A.*$'],SCA,Rolls
DAWN,['^666D5.*$'],SCA,Rolls
ROYCE GHOST,"['^664.*$', '^664S0.*$', '^664S.*$']",SCA,Rolls
GHOST,['^664S5.*$'],SCA,Rolls
PHANTOM DROPHEAD,['^682D5.*$'],SCA,Rolls
ROYCE SILVER SPUR,"['^ZN.*$', '^ZN0.*$', '^Z.*$', '^ZN0.*A$', '^LA6.*E$', '^ZS000.*$']",SCA,Rolls
ROYCE CULLINAN,['^689X0.*$'],SCA,Rolls
ROYCE PHANTOM,"['^3C680.*$', '^1S68.*$', '^681.*0$']",SCA,Rolls
ROYCE PHANTOM COUPE,['^682D0.*$'],SCA,Rolls
ROYCE WRAITH,"['^665C.*$', '^665C0.*$']",SCA,Rolls
ARNAGE,"['^L.*$', '^LC4.*$', '^LC3.*$', '^LC31E.*$']",SCB,Lincoln
AZURE,['^DC4.*$'],SCB,Lincoln
BROOKLANDS,['^ZE.*C$'],SCB,Lincoln
CONTINENTAL,"['^FN6.*$', '^FE6.*$', '^GE2.*$', '^FA6.*$', '^BR.*$', '^GN2.*$', '^FG6.*$']",SCB,Lincoln
FLYING SPUR,['^EC9ZA.*$'],SCB,Lincoln
"CONTINENTAL, BROOKLANDS",['^CC42M.*$'],SCB,Lincoln
FLYING SPUR V8,['^BG6ZG.*$'],SCB,Lincoln
MULSANNE,['^ZS0.*$'],SCB,Lincoln
TURBO,"['^ZE02.*$', '^Z.*$', '^ZP0.*A$', '^ZR0.*$']",SCB,Lincoln
EVORA,['^LMD.*U$'],SCC,Lotus
EXIGE,['^WC111.*$'],SCC,Lotus
DBX,['^VUJAW.*$'],SCF,Aston
MARTIN DB 11,['^RMFAV.*$'],SCF,Aston
MARTIN DB 9,['^AD0.*$'],SCF,Aston
MARTIN RAPIDE,"['^HDDA.*$', '^H.*$']",SCF,Aston
MARTIN V12 ZAGATO,['^GBBGF.*$'],SCF,Aston
MARTIN VANTAGE,"['^EKB.*$', '^BF03B.*$', '^EKBDL.*$']",SCF,Aston
MARTIN VIRAGE,['^EDEAN.*$'],SCF,Aston
PLOUGH,['^AC243.*$'],SCF,Aston
VANTAGE,['^SMGBW.*$'],SCF,Aston
ACCORD,['^CE7.*1$'],SHH,Honda
CIVIC,"['^FK7H.*$', '^FK2.*$']",SHH,Honda
CR-V,"['^RD.*$', '^RD7.*$', '^RD68.*$']",SHS,Honda
CRV,['^RD976.*$'],SHS,Honda
LEAF,['^FAAZE.*$'],SJN,Nissan
PRIMERA,['^BCAP1.*$'],SJN,Nissan
QASHQAI,['^BJ01.*$'],SJN,Nissan
532 120,"['^532.*$', '^532AA.*$', '^53200.*$']",SLP,JCB
140550,['^55000.*$'],SLP,JCB
ROBBOT 160,"['^160WS.*$', '^160.*$']",SLP,JCB
540 170,"['^54.*$', '^5.*$', '^541BA.*$', '^541.*$']",SLP,JCB
175W,['^JW175.*$'],SLP,JCB
3 CX,"['^3CXTS.*$', '^3CX.*S$']",SLP,JCB
416,['^41600.*$'],SLP,JCB
436,['^43600.*$'],SLP,JCB
4CX,['^4CXF.*$'],SLP,JCB
537/135,['^537.*$'],SLP,JCB
8015,['^08015.*$'],SLP,JCB
8060,['^08060.*$'],SLP,JCB
926,['^92604.*$'],SLP,JCB
930,['^93004.*$'],SLP,JCB
JCB,['^53012.*$'],SLP,JCB
ROBOT,['^160SA.*$'],SLP,JCB
1050 CC,['^TPN11.*$'],SMT,Triumph
TIGER 1050,['^700PD.*$'],SMT,Triumph
LANOS,['^TF48C.*$'],SUP,Daewoo
LANUS,['^TF697.*$'],SUP,Daewoo
ARTICULATED,['^34121.*$'],SUU,Solaris
STANDARD,['^241.*$'],SUU,Solaris
SMART,['^OIMCO.*$'],TCC,Smart
SMART CAR,['^01MC0.*$'],TCC,Smart
TUCSON,"['^J281.*$', '^J381.*$']",TMA,Hyundai
FABIA,"['^ED4.*$', '^ED2.*$']",TMB,Skoda
OCTAVIA,['^AC4N.*$'],TMB,Skoda
RAPID,['^AC2NH.*$'],TMB,Skoda
ROOMSTER,['^MD45J.*$'],TMB,Skoda
SUPERB,['^AB6.*$'],TMB,Skoda
VLESPA LX,['^EEA61.*$'],TMB,Skoda
YETI,['^LB4.*$'],TMB,Skoda
TT,"['^AFB.*$', '^RFB.*$']",TRU,Audi
VITARA,['^.*2A2$'],TSM,Chevrolet
CANTER,['^F.*$'],TYB,Mitsubishi
SPORTAGE,"['^PK81.*$', '^PV81.*$', '^PG81.*$', '^PX81.*$', '^P.*$', '^PH81.*$', '^PB81.*$', '^PC81A.*$', '^PC81.*$', '^PU81.*$']",U5Y,KIA
XCEED,['^H5F11.*$'],U5Y,KIA
G500,['^46121.*$'],VAG,Mercedes-Benz
,['^H17ZZ.*$'],VAN,Man
RC,['^JYJ40.*$'],VBK,KTM
125,['^GSF40.*$'],VBK,KTM
250 SXF,['^MXJ43.*$'],VBK,KTM
,['^MXN43.*$'],VBK,KTM
ADVENTTURE,['^JGJ40.*$'],VBK,KTM
450 SXF,['^MXP43.*$'],VBK,KTM
690 DUKE,['^LDU40.*$'],VBK,KTM
DUKE 200,['^JUC40.*$'],VBK,KTM
KTM,['^EUA20.*$'],VBK,KTM
PIRO,['^HAA40.*$'],VBK,KTM
X_BOW,['^ABLAA.*$'],VBK,KTM
19,['^L5330.*$'],VF1,Renault
CAPTUR,['^2RR.*$'],VF1,Renault
CLIO,"['^LA1.*0$', '^HJD.*0$', '^EC1.*1$', '^EB1.*1$', '^LA0.*0$', '^C40.*0$', '^C57.*0$', '^LM1B0.*$', '^BB0.*0$', '^LZB.*0$', '^LB0.*$', '^BB1.*$']",VF1,Renault
KOLEOS,"['^VYRC.*$', '^HGRN.*$']",VF1,Renault
CONSTITUTIONALIZE,['^HSRAJ.*$'],VF1,Renault
DOKKER,['^.*RB4$'],VF1,Renault
DUSTER,['^HSR.*$'],VF1,Renault
VELSATIS,['^HE311.*$'],VF1,Renault
FLONS,['^LZL70.*$'],VF1,Renault
FLUENCE,"['^L2L.*T$', '^GB2.*1$', '^LZL.*T$', '^LZL.*$']",VF1,Renault
LAGUNA,['^B56.*0$'],VF1,Renault
LOGAN,"['^LSR.*$', '^.*SRFB$']",VF1,Renault
LUTECIA,['^CB1N0.*$'],VF1,Renault
MASTER,['^VAE5V.*$'],VF1,Renault
MEGANE,"['^FB2.*1$', '^GB251.*$', '^BZB.*$', '^LRR.*X$', '^GB2.*1$']",VF1,Renault
QM3,['^S8700.*$'],VF1,Renault
SAFRANE,['^ABL.*$'],VF1,Renault
SYMBOL,['^LBR3.*$'],VF1,Renault
TALISMAN,['^LDR.*$'],VF1,Renault
TRAFIC,"['^GF3.*1$', '^GFA.*1$']",VF1,Renault
TWIZY,['^AC.*$'],VF1,Renault
WIND,['^FB171.*$'],VF1,Renault
ZOE,['^AGVVF.*$'],VF1,Renault
301,['^DDNFP.*$'],VF2,Peugeot
206,"['^2AN.*$', '^20A.*3$', '^2AKF.*$', '^2AK.*$', '^2CRF.*$', '^231.*$', '^2MK.*$', '^2BN.*$', '^2MKFW.*$', '^2DN.*U$', '^2AKFW.*$']",VF3,Peugeot
106,['^1CNFX.*$'],VF3,Peugeot
107,['^PNCFA.*$'],VF3,Peugeot
170,['^GBWJY.*$'],VF3,Peugeot
207,"['^3CRF.*$', '^WCKF.*$', '^WB5F.*$', '^WC5F.*$']",VF3,Peugeot
207 S,['^WAKFU.*$'],VF3,Peugeot
3008,['^0U5F.*$'],VF3,Peugeot
3008 1.6 E-HDI,['^0U9HD.*$'],VF3,Peugeot
301,"['^DDNF.*$', '^DD.*$']",VF3,Peugeot
XR306,"['^7BK5A.*$', '^7BK.*$']",VF3,Peugeot
307,"['^3EKF.*$', '^3EN.*$', '^3CV.*$', '^3HN.*$', '^3CN.*$', '^3HR.*$', '^3AR.*$', '^3ERF.*$', '^32N.*$', '^3GN.*$', '^3BRF.*$', '^3CR.*$', '^3CKF.*$', '^3.*$', '^351.*1$']",VF3,Peugeot
308,"['^4J5FM.*$', '^4E5F.*$', '^4H5F.*$', '^4CF.*$', '^4CSF.*$', '^4J5F.*$', '^4BL.*$', '^4EB.*$', '^4C5.*$', '^4BB.*$', '^4B5F.*$', '^4G5F.*$', '^4BD.*$', '^4HSF.*$']",VF3,Peugeot
406,"['^8B6F.*$', '^8BRFN.*$', '^8BR.*$', '^8B.*$', '^8BL.*$']",VF3,Peugeot
407,"['^6DRF.*$', '^6D3F.*$', '^6DR.*$']",VF3,Peugeot
5008,['^0E5F.*$'],VF3,Peugeot
508,['^8D5FC.*$'],VF3,Peugeot
605,['^6BR6E.*$'],VF3,Peugeot
607,['^9.*$'],VF3,Peugeot
BOXER,['^YCBM.*$'],VF3,Peugeot
CARRIAGE,['^YEDMF.*$'],VF3,Peugeot
PARTNER,"['^5BK.*$', '^7EN.*$', '^7AN.*$', '^7JN.*$', '^G.*KFW$']",VF3,Peugeot
190,['^44AG.*$'],VF6,Renault
KERAX,"['^33DVC.*$', '^33.*VC$', '^.*PA$', '^34DPA.*$', '^33.*$', '^3.*$']",VF6,Renault
385,['^22GVA.*$'],VF6,Renault
TRUCK,['^34KPA.*$'],VF6,Renault
MIDLUM 240 18,['^42AEA.*$'],VF6,Renault
PREMIUM,['^29AHB.*$'],VF6,Renault
REVEX ZX,['^N2A60.*$'],VF6,Renault
TRAFIC,['^11CTA.*$'],VF6,Renault
C3,['^FC.*$'],VF7,Citroen
C5,['^R.*$'],VF7,Citroen
CELYSEE,['^DDNFP.*$'],VF7,Citroen
JUMPER,['^233J9.*$'],VF7,Citroen
XT 660 R,['^DM018.*$'],VG5,YAMAHA
113,['^R4X20.*$'],VLU,Scania
H113,['^PH4X2.*$'],VLU,Scania
P124,['^P4X20.*$'],VLU,Scania
SCANIA,['^RH4X2.*$'],VLU,Scania
YARIS,"['^.*3$', '^KD3D3.*$']",VNK,Toyota
280,['^63829.*$'],VSA,Mercedes
320,['^63A23.*$'],VSA,Mercedes
MB100D,['^63133.*$'],VSA,Mercedes
MERCEDES,['^63823.*$'],VSA,Mercedes
V 280,['^63824.*$'],VSA,Mercedes
GRAND VITARA,['^0SJJ6.*$'],VSE,Suzuki
JIMNY,['^0SKJ2.*$'],VSE,Suzuki
ROVER RANGE ROVER,['^LBAAG.*$'],VSE,Suzuki
ROVER SANTANA,['^LBCAG.*$'],VSE,Suzuki
NAVARA,"['^DD3C.*$', '^CVND4.*$', '^CTND2.*$', '^CTN.*$', '^CVND.*$', '^C.*$']",VSK,Nissan
NAVARRA,['^BVND4.*$'],VSK,Nissan
TERANO,"['^BR3.*C$', '^BR35C.*$', '^TBUR2.*$']",VSK,Nissan
PATHFINDER SPN,['^JVWR5.*$'],VSK,Nissan
ALTEA,['^.*5P$'],VSS,Seat
INCA,"['^ZZZ9K.*$', '^ZZZ.*K$']",VSS,Seat
LEON,"['^ZZZ.*$', '^ZZZKJ.*$', '^BA6.*$']",VSS,Seat
AROSA,['^ZZZ6H.*$'],VSS,Seat
CORDOBA,['^ZZZ6K.*$'],VSS,Seat
EXEO,['^EE63R.*$'],VSS,Seat
IBIZA,"['^XC46L.*$', '^XY4.*$', '^ZZZ6.*$']",VSS,Seat
TOLEDO,['^EB25P.*$'],VSS,Seat
CADET,['^00003.*$'],VSX,Opel
CABSTAR,['^SGFF2.*$'],VWA,Nissan
BEETLE,['^ZZZ9C.*$'],VWV,Volkswagen
CASCADA,['^WJ3N5.*$'],W04,Buick
ANTARA,['^LA63.*$'],W0L,Opel
ASTRA,"['^AH64.*$', '^PF2.*$', '^0000.*$']",W0L,Opel
ASTRA / ZAFIRA,['^0TGF6.*$'],W0L,Opel
CORSA,"['^0SDL.*$', '^XE6.*5$', '^0XCF.*$']",W0L,Opel
INSIGNIA,"['^GM5.*$', '^G.*$']",W0L,Opel
MOKKA,['^J.*7D8$'],W0L,Opel
MOKKA / MOKKA X,['^JD7E8.*$'],W0L,Opel
OMEGA,"['^0SBF.*$', '^0.*$', '^0TGF.*$', '^0VB.*6$', '^0AH.*$']",W0L,Opel
VECTRA,"['^ZC5.*F$', '^0JBF.*$']",W0L,Opel
ZVIRA,['^0TGF7.*$'],W0L,Opel
A 200,['^3G8HB.*$'],W1K,Mercedes-Benz
A 45S AMG,['^17705.*$'],W1K,Mercedes-Benz
A-CLASS,"['^3G4.*B$', '^3.*B$', '^3F4EB.*$']",W1K,Mercedes-Benz
A200 D SEDAN,['^3G1CB.*$'],W1K,Mercedes-Benz
A250 4MATIC,['^3G4HB.*$'],W1K,Mercedes-Benz
AMG A45,['^3F5DB.*$'],W1K,Mercedes-Benz
AMG GT,['^7X.*B$'],W1K,Mercedes-Benz
AMG GT43 4MATIC,['^7X5KB.*$'],W1K,Mercedes-Benz
AMG S63 4MATIC,['^UG8JB.*$'],W1K,Mercedes-Benz
E-CLASS,"['^.*B$', '^ZF4KB.*$', '^ZF0.*B$', '^AF4.*B$', '^ZF6.*B$', '^ZF4.*B$', '^ZF5.*B$', '^1K6.*B$', '^1K6JB.*$', '^ZF4FB.*$', '^UG8.*B$', '^ZF8.*B$', '^1J6.*B$']",W1K,Mercedes-Benz
C 180,['^20604.*$'],W1K,Mercedes-Benz
C 200,"['^205.*7$', '^205.*$', '^20.*$']",W1K,Mercedes-Benz
C-CLASS,"['^WF8.*B$', '^AF4GB.*$', '^AF4.*B$', '^WK8.*B$', '^WJ8.*B$']",W1K,Mercedes-Benz
CLA-CLASS,"['^5J5EB.*$', '^5J4.*B$', '^5J4HB.*$', '^5J5.*B$']",W1K,Mercedes-Benz
CLS 350,['^25735.*$'],W1K,Mercedes-Benz
CLS-CLASS,['^2J5.*B$'],W1K,Mercedes-Benz
CLS300 D,['^2J1JB.*$'],W1K,Mercedes-Benz
E 200,"['^238.*8$', '^2.*8$', '^21308.*$']",W1K,Mercedes-Benz
E63 S AMG,['^ZF8KB.*$'],W1K,Mercedes-Benz
E220 D 4MATIC,['^ZF0FB.*$'],W1K,Mercedes-Benz
E220 D CABRIOLET,['^1K1EB.*$'],W1K,Mercedes-Benz
E300 E 4MATIC,['^ZF5EB.*$'],W1K,Mercedes-Benz
E350 4MATIC,['^ZF8GB.*$'],W1K,Mercedes-Benz
EQC 400,['^29389.*$'],W1K,Mercedes-Benz
EQC 400 4MATIC,['^8P9AB.*$'],W1K,Mercedes-Benz
EQE,['^EG2BB.*$'],W1K,Mercedes-Benz
EQS,"['^CG.*B$', '^CG2DB.*$']",W1K,Mercedes-Benz
MAYBACH,['^UX8AB.*$'],W1K,Mercedes-Benz
MAYBACH S 560,['^22298.*$'],W1K,Mercedes-Benz
RIO,['^WK8AB.*$'],W1K,Mercedes-Benz
S 350D 4MATIC,['^UF2BB.*$'],W1K,Mercedes-Benz
S 450,['^6G6BB.*$'],W1K,Mercedes-Benz
S 500,['^223.*6$'],W1K,Mercedes-Benz
S350 D,['^6F3AB.*$'],W1K,Mercedes-Benz
S400 D 4MATIC,['^6F3DB.*$'],W1K,Mercedes-Benz
S-CLASS,['^6G7GB.*$'],W1K,Mercedes-Benz
SL 550,['^JK7DA.*$'],W1K,Mercedes-Benz
SLC-CLASS,['^PK3JA.*$'],W1K,Mercedes-Benz
G 63,['^YC7GJ.*$'],W1N,Mercedes-Benz
E350,['^FD5EB.*$'],W1N,Mercedes-Benz
MERCEDES-BENZ EQA250,['^9N0BB.*$'],W1N,Mercedes-Benz
EQB,['^9M.*B$'],W1N,Mercedes-Benz
G 63 AMG,['^YC7G.*$'],W1N,Mercedes-Benz
G-CLASS,"['^YC7.*J$', '^YC.*J$']",W1N,Mercedes-Benz
GLA-CLASS,"['^4N4.*B$', '^4N4HB.*$']",W1N,Mercedes-Benz
GLA 45,['^4N5DB.*$'],W1N,Mercedes-Benz
GLB-CLASS,"['^4M4.*B$', '^4M.*B$', '^4M4HB.*$']",W1N,Mercedes-Benz
GLC 200,['^0.*8BB$'],W1N,Mercedes-Benz
GLC COUPE,['^25338.*$'],W1N,Mercedes-Benz
GLC-CLASS,['^0G8.*B$'],W1N,Mercedes-Benz
GLC-CLASS COUPE,['^0J8.*B$'],W1N,Mercedes-Benz
GLE 300D 4MATIC,['^FB1KB.*$'],W1N,Mercedes-Benz
GLE 350,['^16735.*$'],W1N,Mercedes-Benz
GLE 400 D 4MA,['^FD2DB.*$'],W1N,Mercedes-Benz
GLE 53,['^FD6BB.*$'],W1N,Mercedes-Benz
GLE 63,['^FD8KB.*$'],W1N,Mercedes-Benz
GLE-CLASS,['^FB5EB.*$'],W1N,Mercedes-Benz
GLS 63 AMG,['^16738.*$'],W1N,Mercedes-Benz
ALLROAD,['^8NAF4.*$'],WA1,Audi
AUDI,['^WMAFE.*$'],WA1,Audi
E-TRON,['^.*AAGE$'],WA1,Audi
E-TRON SPORTBACK,['^.*ABGE$'],WA1,Audi
ETRON,['^ZZZGE.*$'],WA1,Audi
Q5,['^CGCF.*$'],WA1,Audi
Q5 E,['^E2AFY.*$'],WA1,Audi
Q5 SPORTBACK,['^5AAFY.*$'],WA1,Audi
Q7,"['^BY74.*$', '^AGDF.*$']",WA1,Audi
Q8,['^.*F1$'],WA1,Audi
Q8 PRESTIGE,['^FVAF1.*$'],WA1,Audi
SQ5,['^C4AFY.*$'],WA1,Audi
SQ8,['^CWBF1.*$'],WA1,Audi
MIDI,['^456ZZ.*$'],WAG,Man
100,['^ZZZ4A.*$'],WAU,Audi
200,['^HE544.*$'],WAU,Audi
80,['^ZZZ8C.*$'],WAU,Audi
90,['^ZZZ81.*$'],WAU,Audi
A1,['^AYA.*$'],WAU,Audi
A3,"['^AS6.*E$', '^ACC.*$', '^JS6.*E$', '^ZZZ8R.*$', '^JC68.*$', '^ZZZF5.*$', '^LF7.*K$', '^ZZZ.*$', '^AE48.*$', '^MA28.*$', '^ZZZF2.*$', '^AS7.*E$', '^AYJ.*F$']",WAU,Audi
MAKEMODELFILTERMODELIVYZR,['^ZZZ8V.*$'],WAU,Audi
A3 SPORTBACK E-TRON,['^.*PBFF$'],WAU,Audi
A4 AVANT,['^KH78E.*$'],WAU,Audi
A4,['^ZZZF4.*$'],WAU,Audi
A5,"['^CFB.*$', '^ACB.*$', '^9FD.*$', '^8CD.*$', '^LFAF.*$', '^CGB.*$']",WAU,Audi
A6,"['^FGAF.*$', '^ZZZ4.*$', '^BGC.*$', '^AFC.*$', '^.*FC$', '^ZZZ4G.*$', '^BHC.*$', '^AHC.*$']",WAU,Audi
A7,['^SGC.*$'],WAU,Audi
A8,"['^ML44.*$', '^MR44.*$', '^RVB4.*$', '^RGB.*$']",WAU,Audi
A8L,['^ZZZ4H.*$'],WAU,Audi
CABRIOLET,['^ZZZ8G.*$'],WAU,Audi
K5,['^ZZZGE.*$'],WAU,Audi
Q3 35 TDI,['^ZZZF3.*$'],WAU,Audi
Q5,['^.*8R$'],WAU,Audi
Q7,"['^AY54.*$', '^AV94.*$', '^A.*$']",WAU,Audi
S5,"['^CGAF.*$', '^CGAFR.*$']",WAU,Audi
X5,"['^7T4.*0$', '^5R1.*0$', '^FA1.*0$', '^AL310.*$', '^TR9.*0$', '^FA5.*$', '^B.*10$', '^FB310.*$', '^ET5.*0$', '^.*510$', '^7E0.*0$', '^FB3.*$', '^CR6.*0$', '^DD4.*0$', '^AN9.*0$', '^KT0.*0$', '^AV5.*0$', '^A.*$', '^EH7.*$', '^LW710.*$', '^GV8C0.*$', '^AD6.*0$', '^CB8.*0$', '^7T2.*0$', '^GJ010.*$', '^PG710.*$', '^.*10$', '^NE3.*0$', '^AC1.*0$', '^AG1.*0$', '^DM6.*0$', '^JR3.*0$', '^E.*$', '^BM5.*0$', '^C.*10$', '^AL3.*0$', '^7.*$', '^GN810.*$', '^GH6.*0$', '^51A.*0$', '^G.*0$', '^11A.*0$', '^G.*10$', '^A.*10$', '^7E010.*$', '^DN610.*$', '^5U7.*0$', '^.*90$', '^JA1.*0$', '^EB510.*$', '^AX5.*0$', '^1S510.*$', '^AN1.*0$', '^NU1.*0$', '^AY7.*0$', '^FH8.*0$', '^CA0.*0$', '^DN6.*0$', '^7G610.*$', '^BD9.*0$', '^TY5.*0$', '^5P5.*0$', '^7T0.*0$', '^BD5.*0$', '^7U2.*0$', '^VG7.*0$', '^AU5.*0$', '^5A5.*$', '^ET1.*0$', '^AM3.*$', '^HN610.*$', '^31BJ0.*$', '^5A510.*$', '^CX4.*0$', '^DM410.*$', '^7J2C.*$', '^BN5.*0$', '^JL1.*0$', '^.*0$', '^DM4.*0$']",WBA,BMW
520I,"['^HB.*10$', '^HB110.*$', '^H.*$', '^H.*10$', '^NA310.*$']",WBA,BMW
740,"['^7J2.*$', '^GG8.*$', '^GH8.*$', '^GF6.*$', '^GJ8.*$', '^GH834.*$']",WBA,BMW
1 SERIES,['^UL735.*$'],WBA,BMW
1-SERIES,['^U.*C5$'],WBA,BMW
116 I,['^UF110.*$'],WBA,BMW
520 I,"['^.*110$', '^BN3.*$', '^4.*10$', '^4Z110.*$', '^E.*110$', '^VB1.*0$', '^2.*$']",WBA,BMW
118I,['^U.*10$'],WBA,BMW
128IA,['^UP7C5.*$'],WBA,BMW
316,"['^AK510.*$', '^AC1.*0$', '^AT510.*$', '^GA710.*$']",WBA,BMW
218,['^2A310.*$'],WBA,BMW
218D GRAN COUPE,['^31AM0.*$'],WBA,BMW
228,['^1F510.*$'],WBA,BMW
330E,"['^8E1C5.*$', '^3A9.*5$', '^VB1.*5$', '^5P5.*0$', '^VB3.*$', '^VA3.*5$', '^8E1.*$', '^EV5.*$', '^3A5.*5$', '^PH7.*5$']",WBA,BMW
3 SERIES 325IS,['^BF332.*$'],WBA,BMW
3 SERIES 325IX,['^AE930.*$'],WBA,BMW
3-SERIES,"['^3C1.*5$', '^8A9C.*$', '^8B9.*$', '^8E1.*$', '^3B5C5.*$', '^3B5.*5$', '^3A5C5.*$', '^BM334.*$', '^3C3.*5$', '^8E3.*5$', '^PK5.*5$', '^VB7.*$', '^PH7.*5$', '^BK8.*$', '^WB3.*5$', '^VB1.*5$', '^8D9.*$', '^AM53.*$', '^8B3.*$', '^3A5.*5$', '^PM7.*5$', '^PH5.*5$', '^3B5.*$', '^WB7.*5$', '^3A5.*$', '^VA3.*5$', '^8E9.*5$', '^WB7.*$', '^3B1.*5$', '^8E5.*$', '^WR3.*$']",WBA,BMW
3-SERIES GRAN TURISMO,['^8Z5C5.*$'],WBA,BMW
3-SERIES GRANTURISMO,['^8Z9C5.*$'],WBA,BMW
316 I,['^PF110.*$'],WBA,BMW
316/4,['^A2610.*$'],WBA,BMW
318I,['^BL310.*$'],WBA,BMW
318,"['^CA410.*$', '^BE.*10$']",WBA,BMW
318CIA,['^B.*710$'],WBA,BMW
320 D WLTP,['^8C510.*$'],WBA,BMW
320I,"['^PG5.*0$', '^VA7.*$', '^AD510.*$', '^AD.*10$', '^EV1.*$']",WBA,BMW
320D GRAN TURISMO LUXURY,['^8T310.*$'],WBA,BMW
320,['^AA510.*$'],WBA,BMW
320I SE AUTO,['^AV120.*$'],WBA,BMW
323 I,['^AM3.*$'],WBA,BMW
3 SERIES,['^BW334.*$'],WBA,BMW
325CIA,"['^BW3.*$', '^BS334.*$', '^BS3.*$']",WBA,BMW
325I,"['^EV3.*$', '^ET3.*$', '^AV3.*$']",WBA,BMW
328I,['^CD210.*$'],WBA,BMW
330,['^BS510.*$'],WBA,BMW
335 I,['^WL7.*$'],WBA,BMW
5-SERIES,"['^13B.*0$', '^JB1C.*$', '^JA7C.*$', '^.*735$', '^JE7C.*$', '^PG7.*5$', '^JA9C.*$', '^JA5C.*$', '^NV1.*5$', '^JE5C.*$', '^NU5.*5$', '^WR3.*5$', '^53B.*0$', '^HD63.*$', '^HD53.*$', '^3B3.*5$', '^SP4C5.*$', '^PK7.*5$', '^JA7C5.*$', '^NW5.*5$']",WBA,BMW
340I,['^8B3.*$'],WBA,BMW
4 SERIES,['^3N3C5.*$'],WBA,BMW
4-SERIES,"['^4Z1C.*$', '^4.*C5$', '^4Z1C5.*$', '^4R7C.*$']",WBA,BMW
4-SERIES GRAN COUPE,['^4J1C.*$'],WBA,BMW
420,['^4T310.*$'],WBA,BMW
4201 GRAN COUPE,['^4H310.*$'],WBA,BMW
428 I,"['^3N310.*$', '^3N3.*$']",WBA,BMW
428I,"['^3V710.*$', '^3V7.*$', '^3N7.*$']",WBA,BMW
428IX,['^3N510.*$'],WBA,BMW
420D,['^4.*710$'],WBA,BMW
430I COUPE M SPORT PACKAGE,['^4W310.*$'],WBA,BMW
440 I,['^4P110.*$'],WBA,BMW
5 SERIES,"['^NV9.*5$', '^NV1.*5$', '^NW1.*5$']",WBA,BMW
5 SERIES GRAN TURISMO,['^5M2C5.*$'],WBA,BMW
520 D,['^5E510.*$'],WBA,BMW
520D,"['^JC310.*$', '^.*C310$']",WBA,BMW
520D XDRIVE LUXURY,['^JF510.*$'],WBA,BMW
520I LUXURY,['^JK.*10$'],WBA,BMW
525I,"['^NA5.*$', '^NE5.*$', '^DT4.*$']",WBA,BMW
528 I,['^DD6.*$'],WBA,BMW
528I,['^5A710.*$'],WBA,BMW
530E,['^JA9.*$'],WBA,BMW
530I,"['^DT6.*$', '^JA5.*$', '^NA7.*$', '^NE7.*$']",WBA,BMW
535 I,"['^SN.*10$', '^FR7.*$', '^SN210.*$']",WBA,BMW
545,"['^NB310.*$', '^NB3.*$']",WBA,BMW
550I,['^NW510.*$'],WBA,BMW
